신문사,일자,제목,주소,내용,이미지 경로
연합뉴스언론사 선정,1일 전,딥페이크 등 불법촬영물 27만건 삭제 못했다…2년새 80% 증가(종합),https://www.yna.co.kr/view/AKR20240904071651530?input=1195m,"(디성센터)에 '딥페이크 성착취물'을 비롯해 불법촬영물을 지워달라고 요청한 건수가 94만건에 달했으나, 이 가운데 약 29%인 27만건이 삭제되지 못한... 접수한 딥페이크와 성적 모욕 이미지 등 불법촬영물 삭제 요청은 93만8천651건이다. 이 가운데 삭제하지 못한 건수는 26만9천917건으로, 전체 요청...",static/images\딥페이크_등_불법촬영물_27만건_삭제_못했다…2년새_80%_증가(종합).jpg
뉴시스,9시간 전,"안산시, 고교생 대상 딥페이크 예방 교육",https://www.newsis.com/view/NISX20240905_0002876460,5일 안산시에 따르면 시는 딥페이크 등 디지털 성범죄와 관련해 학생들의 피해 예방과 대응을 위해 오는 11월까지 학교로 찾아가는 무료 교육을 진행한다. 교육 내용은 ▲교육의 필요성 ▲정의 및 유형 ▲디지털 성범죄에 대한 청소년의 인식 ▲디지털 성범죄() 예방 ▲대처 방법 ▲2차 가해 예방 ▲도움...,"static/images\안산시,_고교생_대상_딥페이크_예방_교육.jpg"
연합뉴스언론사 선정,1일 전,"여야, '딥페이크 성범죄' 현안질의서 ""엄정 대응"" 한목소리",https://www.yna.co.kr/view/AKR20240904128000001?input=1195m,"4일 '딥페이크 성범죄 관련 현안 질의'에서 한목소리로 범정부 차원의 엄정 대응을 촉구했다. 국민의힘 서범수 의원은 ""각 부처의 역할도 있지만 각자 역할을 총괄하고 피드백을 해줘야 시너지 효과가 난다""며 딥페이크 주무 부처인 여성가족부가 '컨트롤타워' 역할을 해달라고 주문했다. 더불어민주당 서영교...","static/images\여야,_'딥페이크_성범죄'_현안질의서_""엄정_대응""_한목소리.jpg"
뉴시스언론사 선정,2시간 전,"""딥페이크 악용 막기 위해 플랫폼 접속 차단? 부작용 고려해야""",https://www.newsis.com/view/NISX20240905_0002877453,딥페이크(인공지능 기반 이미지 합성 기술) 성범죄 확산을 막기 위한 방안 중 하나로 플랫폼 규제 강화가 논의되고 있다. 플랫폼 사업자가 딥페이크 범죄를 방조하고 있다는 전제에서다. 그러나 학계에서는 국내외 플랫폼 규제 역차별 등 부작용이 있을 수 있다며 법안 실효성에 대한 면밀한 점검이 필요하다는...,"static/images\""딥페이크_악용_막기_위해_플랫폼_접속_차단?_부작용_고려해야"".jpg"
부산일보언론사 선정,8면 1단,“딥페이크 음란물 발견 즉시 삭제”,https://www.busan.com/view/busan/view.php?code=2024090418201874451,빠르게 퍼지고 있는 딥페이크 디지털 음란물이 발견되는 즉시 신속하게 온라인에서 삭제하는 방안이 추진된다. 부산시교육청은 4일 한국방송회관에서 방송통신심의위원회(방심위)와 딥페이크 관련 디지털 성범죄에 신속하게 대응하는 내용의 업무협약을 체결했다. 시교육청과 방심위는 최근 급속하게 늘어나고...,static/images\“딥페이크_음란물_발견_즉시_삭제”.jpg
연합뉴스,4시간 전,"정부, 딥페이크 대응 강화에 보안株 '줄상한가'(종합)",https://www.yna.co.kr/view/AKR20240905044951008?input=1195m,최근 사회문제화한 딥페이크 성범죄에 대해 정부가 대응을 강화하기로 하면서 보안 관련주들이 5일 급등했다. 이날 한컴위드는 전날보다 690원(30... 최근 정부는 텔레그램 등을 통해 급속히 확산한 딥페이크 성범죄 근절 및 예방을 위한 다양한 대책을 내놓고 있다. 여성가족부는 인공지능(AI)...,"static/images\정부,_딥페이크_대응_강화에_보안株_'줄상한가'(종합).jpg"
서울경제,4시간 전,"샌즈랩 ""딥페이크 탐지 무료로 하세요""",https://www.sedaily.com/NewsView/2DE69ZGQZJ,최근 딥페이크를 이용한 범죄가 사회적 문제로 떠오르고 있는 가운데 국내 벤처기업이 이를 방지할 수 있는 서비스를 무료 내놨다. 정보기술(IT) 보안 기업 샌즈랩은 생성형 인공지능(AI) 역기능 중 하나인 딥페이크를 탐지하는 서비스 페이크체크를 출시했다고 5일 밝혔다. 페이크체크는 사용자가 직접...,"static/images\샌즈랩_""딥페이크_탐지_무료로_하세요"".jpg"
뉴시스언론사 선정,1일 전,딥페이크 합성물·성착취물 SNS 통해 판매한 10대 3명 검거,https://www.newsis.com/view/NISX20240904_0002874540,연예인이나 크리에이터가 등장하는 딥페이크 합성물이나 아동·청소년 성착취물 등을 온라인에서 판매한 혐의를 받는 10대 3명이 경찰에 붙잡혔다. 특히 1TB가 넘는 성착취물을 100여 명에게 판매한 10대 1명은 구속됐다. 부산경찰청 여성청소년과는 위장수사를 통해 불법 합성물 및 아동...,static/images\딥페이크_합성물·성착취물_SNS_통해_판매한_10대_3명_검거.jpg
더팩트언론사 선정,13시간 전,TF 출범에 법안 발의까지…'딥페이크 성범죄' 근절 나선 與野,http://news.tf.co.kr/read/ptoday/2131051.htm,떠오른 딥페이크(불법합성물) 성범죄에 여야 정치권이 대응에 나섰다. 더불어민주당이 당내 대책단을 출범시킨 데 이어 국민의힘도 태스크포스(TF)를 구성했다. 국회의원들도 잇따라 관련 법안을 발의하는 등 속도를 내는 모습이다. 5일 정치권에 따르면 민주당은 이재명 대표 지시로 당에 성범죄...,static/images\TF_출범에_법안_발의까지…'딥페이크_성범죄'_근절_나선_與野.jpg
연합뉴스언론사 선정,1일 전,"법무부, 딥페이크 분석장비 예산 12억 증액…""첨단범죄 근절""",https://www.yna.co.kr/view/AKR20240904105100004?input=1195m,내년도 예산안 국무회의 의결…마약 유입 차단 예산 17억 상향 법무부가 최근 사회 문제로 떠오른 '딥페이크 성범죄'에 대응하기 위한 분석장비 도입... 법무부는 먼저 인공지능(AI) 기반 딥페이크 음성·영상 위변조 분석장비 도입에 올해보다 12억2천900만원 늘어난 122억5천만원의 예산을 투입한다는...,"static/images\법무부,_딥페이크_분석장비_예산_12억_증액…""첨단범죄_근절"".jpg"
서울신문,2시간 전,[단독] 올해 총선 딥페이크 불법 게시물 중 25%는 그대로 게시…외국 플...,https://www.seoul.co.kr/news/politics/2024/09/05/20240905500237?wlog_tag3=naver,"또 총선 국면에서 적발된 ‘딥페이크’(허위 영상물) 선거운동 게시물 중 25%는 중앙선거관리위원회(선관위)의 명령에도 삭제되지 않았다. 5일 한병도... 선관위는 실존하지 않은 인물의 딥페이크 이미지로 특정 정당과 입후보예정자의 선거운동 메시지를 전파하거나, 주요 정치인의 영상으로...",static/images\[단독]_올해_총선_딥페이크_불법_게시물_중_25%는_그대로_게시…외국_플....jpg
연합뉴스,14시간 전,"국회 과방위, 여야 공동 '딥페이크 근절' 긴급 토론회",https://www.yna.co.kr/view/AKR20240904151000001?input=1195m,"국회 과학기술정보방송통신위원회는 5일 오후 전체회의실에서 '딥페이크 성범죄영상물, 어떻게 근절할 것인가'를 주제로 긴급 정책토론회를 진행한다.... 교수가 '딥페이크 성범죄영상물 현황 및 대응 전략'을 주제로 각각 발제한다. 최진응 국회입법조사처 과학방송·통신팀 입법조사관, 허욱 메타코리아 부사장...","static/images\국회_과방위,_여야_공동_'딥페이크_근절'_긴급_토론회.jpg"
뉴스1,9시간 전,충북여성연대 등 단체 '딥페이크 성범죄 엄정 수사' 촉구,https://www.news1.kr/local/sejong-chungbuk/5532509,"충북 시민단체와 정당이 최근 텔레그램 등을 통해 급속히 확산하는 불법합성물(딥페이크) 범죄에 대해 엄정한 수사를 촉구했다. 충북여성연대 등 충북 시민단체와 정의당 등은 5일 충북경찰청 앞에서 기자회견을 열고 ""경찰은 충북지역에서 발생한 범죄에 대해 대대적인 수사를 통해 엄중 처벌하라""고...",static/images\충북여성연대_등_단체_'딥페이크_성범죄_엄정_수사'_촉구.jpg
연합뉴스언론사 선정,1일 전,"경찰 ""딥페이크 등 디지털성범죄 전담수사 인력 확충 검토""",https://www.yna.co.kr/view/AKR20240904140000004?input=1195m,"여가위 현안질의서 답변…텔레그램 수사협조 요청엔 ""답 있을 것"" 경찰이 딥페이크(허위영상물) 성범죄와 관련해 전담수사 인력을 확충하는 방안을 검토하겠다고 밝혔다. 김병찬 경찰청 국가수사본부 수사국장은 4일 국회 여성가족위원회의 성범죄 현안질의에 참석해 ""접수되는 사건의 규모를 보고...","static/images\경찰_""딥페이크_등_디지털성범죄_전담수사_인력_확충_검토"".jpg"
