신문사,일자,제목,주소,내용,이미지 경로
여성신문언론사 선정,22시간 전,올해 상반기 딥페이크 피해 726건...여야 “딥페이크 피해자 지원 강화...,https://www.womennews.co.kr/news/articleView.html?idxno=251690,허위영상물(딥페이크) 피해 건수가 총 726건으로 나타났다. 지난해 한 해 동안의 피해 건수를 상회한다. 신영숙 여성가족부 차관(장관 직무대행)은 4일 국회 여성가족위원회의 전체회의에 참석해 이 같은 내용의 딥페이크 성범죄 현황을 보고했다. 이날 회의에는 신 차관 외에도 신보라 한국여성인권진흥원...,static/images\올해_상반기_딥페이크_피해_726건...여야_“딥페이크_피해자_지원_강화....jpg
뉴스1,2시간 전,딥페이크 성범죄 관련 토론하는 김민호 교수,https://www.news1.kr/photos/6864509,김민호 성균관대 법학전문대학원 교수가 5일 오후 서울 여의도 국회에서 열린 딥페이크 성범죄 어떻게 근절할 것인가 토론회에서 발언하고 있다. 2024.9.5/뉴스1,static/images\딥페이크_성범죄_관련_토론하는_김민호_교수.jpg
노컷뉴스언론사 선정,2일 전,"딥페이크 제작물 범람…큐브-YG ""유포자도 선처 無"" 법적 조치 예고",https://www.nocutnews.co.kr/news/6205922?utm_source=naver&utm_medium=article&utm_campaign=20240903063308,"최근 한국에서 여성 얼굴이나 신체에 음란물을 합성하는 '딥페이크'(AI 기반 합성 영상) 성범죄 피해 사례가 대거 드러난 가운데, 엔터테인먼트 회사에서도 무분별한 딥페이크 불법 영상물에 강력히 법적 대응하겠다는 방침을 밝혔다. 큐브엔터테인먼트는 3일 오후 공식 트위터(X)에 ""최근 당사는 소속...","static/images\딥페이크_제작물_범람…큐브-YG_""유포자도_선처_無""_법적_조치_예고.jpg"
뉴스핌,1일 전,전북교육청 '딥페이크' 대응 TF 구성,https://www.newspim.com/news/view/20240904000385,전북교육청은 딥페이크가 사회적 문제로 대두됨에 따라 자체 대응팀을 꾸려 강력 대응한다고 4일 밝혔다. 유정기 부교육감을 단장으로 한 '학교 딥페이크 성범죄 대응 TF'는 △학생피해 지원팀 △교직원피해 지원팀 △디지털 성인식 개선팀 △디지털 윤리 대응팀 △언론대응팀 등 5개 팀으로 구성돼...,static/images\전북교육청_'딥페이크'_대응_TF_구성.jpg
KBS,10시간 전,"전북교육청, 학교 딥페이크 대응팀 꾸려",https://news.kbs.co.kr/news/pc/view/view.do?ncd=8052123&ref=A,"전북특별자치도교육청이 사진이나 영상물 합성을 통한 딥페이크 음란물 피해를 대응하기 위해 학교 딥페이크 성범죄 전담팀을 꾸렸습니다. 앞으로 학생과 교직원 피해 지원, 디지털 성인식 개선, 디지털 윤리 교육 등을 시행하기로 했습니다. 또 원스톱 신고 센터를 운영해 정기적으로 피해 현황도 조사할...","static/images\전북교육청,_학교_딥페이크_대응팀_꾸려.jpg"
아시아경제,1일 전,‘딥페이크’ 범죄 증가에 여야 무더기 입법 추진,https://view.asiae.co.kr/article/2024090315355538760,딥페이크(인공지능 기반 이미지 합성 기술) 범죄 피해사례가 속출하면서 국회가 관련 법안을 쏟아내고 있다. 4일 국회 의안정보시스템 따르면 텔레그램 딥페이크 사태가 알려진 지난달 27일부터 이날까지 일주일간 발의된 와 관련한 법안은 총 28건이다. 특히 성범죄와 관련된...,static/images\‘딥페이크’_범죄_증가에_여야_무더기_입법_추진.jpg
bnt뉴스,1일 전,"XG, 딥페이크 범죄 강경 대응 예고...“끝까지 싸우겠다”",https://www.bntnews.co.kr/article/view/bnt202409040094,그룹 XG(엑스지) 측이 딥페이크 제작물에 대해 강경 대응의 뜻을 밝혔다. 오늘(4일) 소속사 XGALX는 “당사는 소속 아티스트를 대상으로 한 딥페이크 제작물이 제작 및 유포되는 상황을 확인했다”라며 “범죄 행위에 대한 증거 수집 및 모니터링을 통해 선처 없는 강력한 법적 조치를 취할 것”이라고...,"static/images\XG,_딥페이크_범죄_강경_대응_예고...“끝까지_싸우겠다”.jpg"
이데일리,11시간 전,"XG 소속사도 나섰다… ""딥페이크 제작·유포 법적대응""",http://starin.edaily.co.kr/news/newspath.asp?newsid=01125046639017168,그룹 XG(엑스지) 측이 딥페이크 제작물에 대해 강경 대응의 뜻을 밝혔다. 소속사 XGALX는 4일 “당사는 소속 아티스트를 대상으로 한 딥페이크 제작물이 제작 및 유포되는 상황을 확인했다”며 “범죄 행위에 대한 증거 수집 및 모니터링을 통해 선처 없는 강력한 법적 조치를 취할 것”이라고 밝혔다. XGALX의...,"static/images\XG_소속사도_나섰다…_""딥페이크_제작·유포_법적대응"".jpg"
이데일리,1일 전,"국회 과방위, 딥페이크 성범죄 확산에 5일 긴급 정책토론회",http://www.edaily.co.kr/news/newspath.asp?newsid=03801526639016840,(사진=연합뉴스) 딥페이크 성범죄물 확산이 사회적 문제로 대두된 상황에서 국회 과학기술정보방송통신위원회가 5일 긴급 정책 토론회를 개최한다. 과방위는 이날 오후 3시 ‘딥페이크 성범죄영상물 어떻게 근절할 것인가’ 정책토론회를 개최한다고 밝혔다. 이번 토론회는 과방위 소속 여야가 함께 주최하고...,"static/images\국회_과방위,_딥페이크_성범죄_확산에_5일_긴급_정책토론회.jpg"
동아일보언론사 선정,A1면 1단,"경찰, 텔레그램 법인 ‘딥페이크 성범죄 방조’ 내사",https://www.donga.com/news/Society/article/all/20240903/126814977/2,딥페이크(인공지능 기반 이미지 합성) 성착취물 범죄를 수사 중인 경찰이 텔레그램의 법인에 대해 내사를 시작했다고 2일 밝혔다. 성착취물이... 우종수 경찰청 국가수사본부장은 2일 기자간담회에서 “텔레그램 법인에 대해 ( 성착취물 범죄) 방조 혐의로 입건 전 조사에 착수했다”며 “프랑스 수사...,"static/images\경찰,_텔레그램_법인_‘딥페이크_성범죄_방조’_내사.jpg"
NSP통신,2시간 전,"포항남부경찰서, 딥페이크 성범죄 예방 홍보 활동",https://www.nspna.com/news/?mode=view&newsid=716837,포항남부경찰서(서장 박찬영)는 지난 4일 포항 문화예술회관 1층 로비에서 딥페이크 성범죄 및 교제폭력·스토킹 등 여성대상범죄 예방 홍보 부스를... 또한 포항 여성들을 위한 문화축제인 만큼 행사에 참석한 포항 여성들을 대상으로 최근 이슈가 되고 있는 성범죄에 대한 처벌 규정 및 피해 유형...,"static/images\포항남부경찰서,_딥페이크_성범죄_예방_홍보_활동.jpg"
뉴스1,1일 전,딥페이크 성범죄 대응 방안 논의,https://www.news1.kr/photos/6861865,신영숙 여성가족부 장관 직무대행이 4일 오후 서울 여의도 국회에서 열린 여성가족위원회 전체회의에서 딥페이크 성범죄 대응 현황을 보고하고 있다. 2024.9.4/뉴스1,static/images\딥페이크_성범죄_대응_방안_논의.jpg
매일경제언론사 선정,19시간 전,내가 만든 건 아니잖아?…딥페이크 광고 버젓이 내보내고 수익 챙기는 ...,https://www.mk.co.kr/article/11109970,"인공지능(AI)으로 제작한 딥페이크 광고들이 활개치고 있지만 이들의 온상인 빅테크들은 정작 책임을 미루고 있다. 유튜브 페이스북 인스타그램 등은 AI로 제작한 콘텐츠에 ‘생성·합성 여부’를 표시하는 라벨링을 적용하겠다고 지난 5월 선언한 바 있다. 하지만 이런 ‘꼬리표’ 정책과 무관하게, AI ...",static/images\내가_만든_건_아니잖아?…딥페이크_광고_버젓이_내보내고_수익_챙기는_....jpg
중부매일,3시간 전,"충북시민단체 ""경찰, 딥페이크 성범죄 관련 적극 수사"" 촉구",http://www.jbnews.com/news/articleView.html?idxno=1450809,"［중부매일 이은호기자］ 충북시민사회단체가 불법합성물(딥페이크) 성범죄에 대한 철저한 수사와 처벌이 필요하다고 촉구했다. 전국교직원노동조합 충북지부 등 35곳의 시민단체는 5일 오전 충북경찰청 앞에서 기자회견을 열고 ""충주에서 고등학생 2명이 지난해 10월 를 제작하고 공유한 혐의로...","static/images\충북시민단체_""경찰,_딥페이크_성범죄_관련_적극_수사""_촉구.jpg"
디지털데일리언론사 선정,5시간 전,"[딥페이크 사태 上] 정치권이 주목한 대안, 韓 어디까지 왔나",https://www.ddaily.co.kr/page/view/2024090511454936131,"딥페이크(인공지능 기반 이미지 합성 기술) 성범죄물 제작·유포 사태가 확산하면서, 정치권에서는 생성형 인공지능(AI) 저작물에 대한 워터마크... ◆딥페이크 논란에 ‘AI 기본법’ 논의 속도 내는 국회 5일 정보기술(IT)업계에 따르면 국회 과학기술정보방송통신위원회는 지난 3일...","static/images\[딥페이크_사태_上]_정치권이_주목한_대안,_韓_어디까지_왔나.jpg"
KBS,10시간 전,10대가 딥페이크 음란물 판매…구매자 처벌은 ‘한계’,https://news.kbs.co.kr/news/pc/view/view.do?ncd=8052093&ref=A,"[앵커] 연예등을 합성한 딥페이크 음란물 등을 판매한 10대들이 경찰에 검거됐습니다. 이들에게 이 성인 딥페이크물을 구매한 사람도 경찰에 적발됐는데, 정작 법에는 처발할 수 있는 조항조차 없습니다. 이준석 기자가 보도합니다. [리포트] 온라인상에 떠도는 유명 연예인 얼굴 등을 합성한 ...",static/images\10대가_딥페이크_음란물_판매…구매자_처벌은_‘한계’.jpg
스포츠경향,1일 전,[전문] 아이린도 딥페이크에 칼 빼들었다 “강경하게 대응할 것”,https://sports.khan.co.kr/article/202409041745003?pt=nv,모델 아이린 측이 딥페이크(불법 합성물) 유포에 대해 엄중히 대응하겠다고 밝혔다. 4일 소속사 사람엔터테인먼트는 공식 SNS를 통해 “최근 소속 아티스트인 모델 아이린을 대상으로 딥페이크 제작물이 불법 제작 및 유포되는 사례가 발생하고 있다“라며 ”이에 당사에서는 엄중히 대응하고자 한다”는...,static/images\[전문]_아이린도_딥페이크에_칼_빼들었다_“강경하게_대응할_것”.jpg
경향신문,A8면 TOP,딥페이크 성범죄 처벌법 강화됐지만…집행유예 39% ‘최다’,https://www.khan.co.kr/national/national-general/article/202409042112005,2020년 딥페이크 성착취물 처벌 강화법 시행 이후 판결을 전수 분석해보니 집행유예 판결이 40%에 이르는 것으로 나타났다. 딥페이크 성범죄 피해 파장이 커지면서 처벌을 강화해야 한다는 목소리가 높아져 시청·소지한 사람도 형사처벌하는 방안을 논의 중이지만 정작 그간 재판에 넘겨진 경우 제대로...,static/images\딥페이크_성범죄_처벌법_강화됐지만…집행유예_39%_‘최다’.jpg
